Date,Store,SKU,InventoryLevel,DemandForecast,DaysToStockout,StockoutUrgency
2023-01-01,Store001,SKU001,49,31.0,1.5806451612903225,Critical
2023-01-01,Store001,SKU002,42,8.0,5.25,Urgent
2023-01-01,Store001,SKU003,85,9.0,9.444444444444445,Normal
2023-01-01,Store002,SKU001,27,13.0,2.076923076923077,Critical
2023-01-01,Store002,SKU002,51,21.0,2.4285714285714284,Critical
2023-01-01,Store002,SKU003,63,14.0,4.5,Urgent
2023-01-01,Store003,SKU001,89,23.0,3.869565217391304,Urgent
2023-01-01,Store003,SKU002,79,15.0,5.266666666666667,Urgent
2023-01-01,Store003,SKU003,10,11.0,0.9090909090909091,Critical
2023-01-02,Store001,SKU001,30,22.5,1.3333333333333333,Critical
2023-01-02,Store001,SKU002,61,10.5,5.809523809523809,Urgent
2023-01-02,Store001,SKU003,70,12.0,5.833333333333333,Urgent
2023-01-02,Store002,SKU001,29,18.5,1.5675675675675675,Critical
2023-01-02,Store002,SKU002,35,15.5,2.2580645161290325,Critical
2023-01-02,Store002,SKU003,80,12.5,6.4,Urgent
2023-01-02,Store003,SKU001,64,23.0,2.782608695652174,Critical
2023-01-02,Store003,SKU002,86,10.0,8.6,Normal
2023-01-02,Store003,SKU003,47,16.0,2.9375,Critical
2023-01-03,Store001,SKU001,61,24.0,2.5416666666666665,Critical
2023-01-03,Store001,SKU002,60,11.0,5.454545454545454,Urgent
2023-01-03,Store001,SKU003,46,13.0,3.5384615384615383,Urgent
2023-01-03,Store002,SKU001,71,21.333333333333332,3.328125,Urgent
2023-01-03,Store002,SKU002,40,16.333333333333332,2.4489795918367347,Critical
2023-01-03,Store002,SKU003,22,14.0,1.5714285714285714,Critical
2023-01-03,Store003,SKU001,81,19.333333333333332,4.189655172413794,Urgent
2023-01-03,Store003,SKU002,83,11.666666666666666,7.114285714285715,Normal
2023-01-03,Store003,SKU003,46,15.333333333333334,3.0,Critical
2023-01-04,Store001,SKU001,97,21.75,4.459770114942529,Urgent
2023-01-04,Store001,SKU002,46,13.25,3.4716981132075473,Urgent
2023-01-04,Store001,SKU003,93,12.5,7.44,Normal
2023-01-04,Store002,SKU001,21,20.25,1.037037037037037,Critical
2023-01-04,Store002,SKU002,53,13.75,3.8545454545454545,Urgent
2023-01-04,Store002,SKU003,83,11.5,7.217391304347826,Normal
2023-01-04,Store003,SKU001,16,16.25,0.9846153846153847,Critical
2023-01-04,Store003,SKU002,33,12.75,2.588235294117647,Critical
2023-01-04,Store003,SKU003,67,16.75,4.0,Urgent
2023-01-05,Store001,SKU001,46,21.4,2.149532710280374,Critical
2023-01-05,Store001,SKU002,78,12.2,6.39344262295082,Urgent
2023-01-05,Store001,SKU003,53,11.6,4.56896551724138,Urgent
2023-01-05,Store002,SKU001,46,21.8,2.110091743119266,Critical
2023-01-05,Store002,SKU002,78,14.6,5.342465753424658,Urgent
2023-01-05,Store002,SKU003,82,11.4,7.192982456140351,Normal
2023-01-05,Store003,SKU001,81,17.0,4.764705882352941,Urgent
2023-01-05,Store003,SKU002,36,11.8,3.0508474576271185,Urgent
2023-01-05,Store003,SKU003,30,16.2,1.8518518518518519,Critical
2023-01-06,Store001,SKU001,87,18.833333333333332,4.619469026548673,Urgent
2023-01-06,Store001,SKU002,32,14.166666666666666,2.2588235294117647,Critical
2023-01-06,Store001,SKU003,57,12.0,4.75,Urgent
2023-01-06,Store002,SKU001,48,23.833333333333332,2.013986013986014,Critical
2023-01-06,Store002,SKU002,60,14.5,4.137931034482759,Urgent
2023-01-06,Store002,SKU003,82,11.666666666666666,7.028571428571429,Normal
2023-01-06,Store003,SKU001,79,16.166666666666668,4.886597938144329,Urgent
2023-01-06,Store003,SKU002,80,11.5,6.956521739130435,Urgent
2023-01-06,Store003,SKU003,64,14.5,4.413793103448276,Urgent
2023-01-07,Store001,SKU001,35,17.285714285714285,2.024793388429752,Critical
2023-01-07,Store001,SKU002,11,14.714285714285714,0.7475728155339806,Critical
2023-01-07,Store001,SKU003,69,11.714285714285714,5.890243902439025,Urgent
2023-01-07,Store002,SKU001,92,22.714285714285715,4.050314465408805,Urgent
