Date,Store,SKU,SalesQuantity,InventoryLevel,UnitCost,SellingPrice,LeadTime,SupplierID,Category,OrderedDate,OrderedQuantity,OrderStatus,DemandForecast,CV,InventoryCategory,SafetyStock,EOQ,ReorderPoint,PendingOrders,Reorder,OrderQuantity,OrderPriority,TotalSales,AverageInventoryLevel,InventoryTurnover
2023-01-01,Store001,SKU001,31,49,305.84,367.01,7,SUP001,Electronics,,0,None,31.0,0.4469480032434872,C,12.78266391216064,35.21363372331802,229.78266391216064,0,True,180.78266391216064,Medium,5326,55.054794520547944,96.73998507091316
2023-01-01,Store001,SKU002,8,42,69.57,144.82,5,SUP002,Clothing,,0,None,8.0,0.4888827050106926,C,11.603530548078444,17.88854381999832,51.603530548078446,0,True,9.603530548078446,Low,4420,53.88219178082192,82.03081303706716
2023-01-01,Store001,SKU003,9,85,27.47,32.96,3,SUP003,Books,,0,None,9.0,0.5124098617067465,C,10.087258421679966,18.973665961010276,37.08725842167996,0,False,0.0,Low,3666,55.73424657534247,65.77643415425453
2023-01-01,Store002,SKU001,13,27,305.84,367.01,7,SUP001,Electronics,,0,None,13.0,0.48777608644303344,C,14.036779212620559,22.80350850198276,105.03677921262056,0,True,78.03677921262056,Medium,5359,54.868493150684934,97.6698956408848
2023-01-01,Store002,SKU002,21,51,69.57,144.82,5,SUP002,Clothing,,0,None,21.0,0.5114843407900957,C,12.823879339210837,28.982753492378876,117.82387933921083,0,True,66.82387933921083,Medium,4669,52.778082191780825,88.46475290697674
2023-01-01,Store002,SKU003,14,63,27.47,32.96,3,SUP003,Books,,0,None,14.0,0.5196382683114912,C,10.218394694715325,23.664319132398465,52.21839469471533,0,False,0.0,Low,3662,54.57260273972603,67.10326823635724
2023-01-01,Store003,SKU001,23,89,305.84,367.01,7,SUP001,Electronics,,0,None,23.0,0.47559981845990906,C,13.637857369667923,30.331501776206203,174.63785736966793,0,True,85.63785736966793,Medium,5340,54.12876712328767,98.65364174722883
2023-01-01,Store003,SKU002,15,79,69.57,144.82,5,SUP002,Clothing,2022-12-14,60,Delivered,15.0,0.44687170121026343,C,10.484026374443221,24.49489742783178,85.48402637444322,0,True,6.484026374443218,Low,4369,54.772602739726025,79.76615646258503
2023-01-01,Store003,SKU003,11,10,27.47,32.96,3,SUP003,Books,,0,None,11.0,0.49263346168064476,C,9.626516732683555,20.97617696340303,42.626516732683555,0,True,32.626516732683555,Low,3639,54.92602739726028,66.25274341580207
2023-01-02,Store001,SKU001,14,30,305.84,367.01,7,SUP001,Electronics,,0,None,22.5,0.4469480032434872,C,12.78266391216064,30.0,170.28266391216064,0,True,140.28266391216064,Medium,5326,55.054794520547944,96.73998507091316
2023-01-02,Store001,SKU002,13,61,69.57,144.82,5,SUP002,Clothing,,0,None,10.5,0.4888827050106926,C,11.603530548078444,20.493901531919196,64.10353054807844,0,True,3.1035305480784388,Low,4420,53.88219178082192,82.03081303706716
2023-01-02,Store001,SKU003,15,70,27.47,32.96,3,SUP003,Books,,0,None,12.0,0.5124098617067465,C,10.087258421679966,21.908902300206645,46.08725842167996,0,False,0.0,Low,3666,55.73424657534247,65.77643415425453
2023-01-02,Store002,SKU001,24,29,305.84,367.01,7,SUP001,Electronics,,0,None,18.5,0.48777608644303344,C,14.036779212620559,27.202941017470888,143.53677921262056,0,True,114.53677921262056,Medium,5359,54.868493150684934,97.6698956408848
2023-01-02,Store002,SKU002,10,35,69.57,144.82,5,SUP002,Clothing,,0,None,15.5,0.5114843407900957,C,12.823879339210837,24.899799195977465,90.32387933921083,0,True,55.32387933921083,Medium,4669,52.778082191780825,88.46475290697674
2023-01-02,Store002,SKU003,11,80,27.47,32.96,3,SUP003,Books,,0,None,12.5,0.5196382683114912,C,10.218394694715325,22.360679774997898,47.71839469471533,0,False,0.0,Low,3662,54.57260273972603,67.10326823635724
2023-01-02,Store003,SKU001,23,64,305.84,367.01,7,SUP001,Electronics,,0,None,23.0,0.47559981845990906,C,13.637857369667923,30.331501776206203,174.63785736966793,0,True,110.63785736966793,Medium,5340,54.12876712328767,98.65364174722883
2023-01-02,Store003,SKU002,5,86,69.57,144.82,5,SUP002,Clothing,,0,None,10.0,0.44687170121026343,C,10.484026374443221,20.0,60.48402637444322,0,False,0.0,Low,4369,54.772602739726025,79.76615646258503
2023-01-02,Store003,SKU003,21,47,27.47,32.96,3,SUP003,Books,,0,None,16.0,0.49263346168064476,C,9.626516732683555,25.298221281347036,57.626516732683555,0,True,10.626516732683555,Low,3639,54.92602739726028,66.25274341580207
2023-01-03,Store001,SKU001,27,61,305.84,367.01,7,SUP001,Electronics,,0,None,24.0,0.4469480032434872,C,12.78266391216064,30.983866769659336,180.78266391216064,0,True,119.78266391216064,Medium,5326,55.054794520547944,96.73998507091316
2023-01-03,Store001,SKU002,12,60,69.57,144.82,5,SUP002,Clothing,,0,None,11.0,0.4888827050106926,C,11.603530548078444,20.97617696340303,66.60353054807844,0,True,6.603530548078439,Low,4420,53.88219178082192,82.03081303706716
2023-01-03,Store001,SKU003,15,46,27.47,32.96,3,SUP003,Books,,0,None,13.0,0.5124098617067465,C,10.087258421679966,22.80350850198276,49.08725842167996,0,True,3.0872584216799623,Low,3666,55.73424657534247,65.77643415425453
2023-01-03,Store002,SKU001,27,71,305.84,367.01,7,SUP001,Electronics,2022-12-17,45,Delivered,21.333333333333332,0.48777608644303344,C,14.036779212620559,29.211869733608857,163.37011254595387,0,True,92.37011254595387,Medium,5359,54.868493150684934,97.6698956408848
2023-01-03,Store002,SKU002,18,40,69.57,144.82,5,SUP002,Clothing,,0,None,16.333333333333332,0.5114843407900957,C,12.823879339210837,25.56038601690775,94.49054600587749,0,True,54.49054600587749,Medium,4669,52.778082191780825,88.46475290697674
2023-01-03,Store002,SKU003,17,22,27.47,32.96,3,SUP003,Books,,0,None,14.0,0.5196382683114912,C,10.218394694715325,23.664319132398465,52.21839469471533,0,True,30.21839469471533,Low,3662,54.57260273972603,67.10326823635724
2023-01-03,Store003,SKU001,12,81,305.84,367.01,7,SUP001,Electronics,,0,None,19.333333333333332,0.47559981845990906,C,13.637857369667923,27.808871486152277,148.97119070300124,0,True,67.97119070300124,Medium,5340,54.12876712328767,98.65364174722883
2023-01-03,Store003,SKU002,15,83,69.57,144.82,5,SUP002,Clothing,,0,None,11.666666666666666,0.44687170121026343,C,10.484026374443221,21.602468994692867,68.81735970777655,0,False,0.0,Low,4369,54.772602739726025,79.76615646258503
