Date,Store,SKU,SalesQuantity,InventoryLevel,UnitCost,SellingPrice,LeadTime,SupplierID,Category,OrderedDate,OrderedQuantity,OrderStatus
2023-01-01,Store001,SKU001,31,49,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-01,Store001,SKU002,8,42,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-01,Store001,SKU003,9,85,27.47,32.96,3,SUP003,Books,,0,None
2023-01-01,Store002,SKU001,13,27,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-01,Store002,SKU002,21,51,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-01,Store002,SKU003,14,63,27.47,32.96,3,SUP003,Books,,0,None
2023-01-01,Store003,SKU001,23,89,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-01,Store003,SKU002,15,79,69.57,144.82,5,SUP002,Clothing,2022-12-14,60,Delivered
2023-01-01,Store003,SKU003,11,10,27.47,32.96,3,SUP003,Books,,0,None
2023-01-02,Store001,SKU001,14,30,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-02,Store001,SKU002,13,61,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-02,Store001,SKU003,15,70,27.47,32.96,3,SUP003,Books,,0,None
2023-01-02,Store002,SKU001,24,29,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-02,Store002,SKU002,10,35,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-02,Store002,SKU003,11,80,27.47,32.96,3,SUP003,Books,,0,None
2023-01-02,Store003,SKU001,23,64,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-02,Store003,SKU002,5,86,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-02,Store003,SKU003,21,47,27.47,32.96,3,SUP003,Books,,0,None
2023-01-03,Store001,SKU001,27,61,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-03,Store001,SKU002,12,60,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-03,Store001,SKU003,15,46,27.47,32.96,3,SUP003,Books,,0,None
2023-01-03,Store002,SKU001,27,71,305.84,367.01,7,SUP001,Electronics,2022-12-17,45,Delivered
2023-01-03,Store002,SKU002,18,40,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-03,Store002,SKU003,17,22,27.47,32.96,3,SUP003,Books,,0,None
2023-01-03,Store003,SKU001,12,81,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-03,Store003,SKU002,15,83,69.57,144.82,5,SUP002,Clothing,,0,None
